pay_type,paperless_billing,payment_method,monthly_charges,total_charges,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target,type_serves,lifetime,renewals_count,months_until_payment,monthly_diff_percent,num_options
Two year,Yes,Credit card (automatic),88.0,6776.0,Yes,Yes,No,Yes,No,No,Male,0,Yes,No,Yes,0,combo_optic,2132,2,2,10.0,4
Month-to-month,Yes,Bank transfer (automatic),19.8,198.0,No,No,No,No,No,No,Female,0,Yes,Yes,No,0,phone,306,10,0,0.0,0
Month-to-month,Yes,Electronic check,90.05,1891.05,No,Yes,Yes,No,No,Yes,Female,0,No,No,No,0,combo_optic,641,21,0,0.0,3
Month-to-month,Yes,Electronic check,78.45,2907.36,No,Yes,No,Yes,No,No,Male,0,No,No,No,0,combo_optic,1036,34,0,9.0,2
Month-to-month,Yes,Mailed check,88.3,545.69,Yes,No,No,Yes,Yes,No,Female,1,Yes,Yes,No,0,combo_optic,184,6,0,3.0,3
One year,Yes,Electronic check,91.35,4465.19,No,Yes,No,No,No,Yes,Male,0,Yes,Yes,Yes,1,combo_optic,1430,3,1,4.0,3
One year,Yes,Mailed check,70.7,2774.27,No,Yes,No,Yes,No,Yes,Female,0,No,No,Yes,0,combo_dsl,1095,3,0,9.0,4
One year,No,Credit card (automatic),95.25,3691.89,No,Yes,No,No,Yes,Yes,Female,1,No,No,No,1,combo_optic,1155,3,10,2.01,3
Month-to-month,Yes,Electronic check,103.05,5873.85,Yes,Yes,Yes,Yes,Yes,No,Male,0,Yes,No,Yes,0,combo_optic,1737,57,0,0.0,6
Two year,Yes,Credit card (automatic),70.35,4009.95,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,No,No,0,combo_dsl,1737,2,15,0.0,4
One year,Yes,Credit card (automatic),51.55,1434.12,No,No,No,No,No,No,Male,0,No,No,Yes,0,combo_dsl,792,2,10,7.0,1
Month-to-month,No,Credit card (automatic),55.2,789.36,No,No,Yes,Yes,No,No,Female,0,Yes,Yes,No,0,combo_dsl,396,13,0,10.0,2
Month-to-month,No,Electronic check,105.4,6640.2,No,Yes,No,Yes,Yes,Yes,Male,0,No,No,Yes,0,combo_optic,1918,63,0,0.0,5
Month-to-month,Yes,Electronic check,94.45,566.7,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,No,0,combo_optic,184,6,0,0.0,3
Two year,No,Bank transfer (automatic),24.75,1871.1,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0,phone,2191,3,0,5.01,1
Month-to-month,No,Mailed check,45.1,180.4,No,No,No,No,No,No,Female,1,No,No,No,0,combo_dsl,123,4,0,0.0,0
Two year,No,Bank transfer (automatic),60.0,1605.0,Yes,No,No,Yes,No,No,Female,0,Yes,Yes,Yes,1,combo_dsl,762,1,23,7.0,3
Month-to-month,Yes,Bank transfer (automatic),96.65,5564.14,No,Yes,No,Yes,No,Yes,Female,0,Yes,Yes,Yes,1,combo_optic,1736,57,0,1.0,4
Month-to-month,No,Electronic check,25.25,25.25,No,No,No,No,No,No,Female,0,No,No,No,0,internet_dsl,31,1,0,0.0,0
Two year,No,Bank transfer (automatic),24.45,1720.79,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0,phone,2102,2,3,2.0,1
Month-to-month,No,Mailed check,20.35,81.4,No,No,No,No,No,No,Male,0,No,No,No,0,phone,123,4,0,0.0,0
One year,Yes,Mailed check,33.6,403.2,Yes,No,No,Yes,No,No,Female,0,No,No,No,0,internet_dsl,365,1,0,0.0,2
Two year,No,Bank transfer (automatic),102.9,6894.3,No,Yes,No,Yes,Yes,Yes,Male,1,Yes,No,Yes,0,combo_optic,2041,2,5,0.0,5
Month-to-month,Yes,Electronic check,55.8,179.12,Yes,No,Yes,No,No,No,Female,1,No,No,No,0,combo_dsl,92,3,0,7.01,2
Month-to-month,No,Mailed check,20.25,595.35,No,No,No,No,No,No,Female,0,No,Yes,No,0,phone,853,28,0,4.99,0
Month-to-month,No,Mailed check,44.95,269.7,No,No,No,No,No,No,Male,1,No,No,No,0,combo_dsl,184,6,0,0.0,0
Month-to-month,Yes,Electronic check,79.15,598.37,No,No,No,No,No,Yes,Female,0,No,No,No,0,combo_optic,215,7,0,8.0,1
Month-to-month,No,Mailed check,20.25,43.34,No,No,No,No,No,No,Male,0,No,No,No,0,phone,62,2,0,7.01,0
Two year,No,Credit card (automatic),25.7,856.58,No,No,No,No,No,No,Female,0,No,No,Yes,0,phone,1006,1,15,1.01,1
Month-to-month,Yes,Electronic check,106.35,6487.35,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0,combo_optic,1857,61,0,0.0,5
One year,No,Mailed check,64.85,1416.32,Yes,No,Yes,No,No,Yes,Female,0,No,Yes,No,0,combo_dsl,641,1,3,3.99,3
Month-to-month,No,Mailed check,49.95,99.9,No,No,Yes,No,No,No,Male,1,No,No,No,0,combo_dsl,62,2,0,0.0,1
Month-to-month,Yes,Electronic check,66.65,559.86,No,Yes,No,Yes,Yes,No,Male,0,No,No,No,0,combo_dsl,245,8,0,5.0,3
One year,Yes,Credit card (automatic),73.0,2382.72,Yes,Yes,Yes,No,Yes,No,Female,0,Yes,Yes,Yes,1,combo_dsl,976,2,4,2.0,5
Month-to-month,Yes,Electronic check,90.05,630.35,No,Yes,No,No,No,Yes,Male,0,No,No,Yes,0,combo_optic,215,7,0,0.0,3
Month-to-month,Yes,Electronic check,74.9,734.77,No,No,No,No,No,No,Male,0,No,No,Yes,0,combo_optic,276,9,0,9.0,1
Two year,No,Bank transfer (automatic),25.65,1125.01,No,No,No,No,No,No,Female,0,Yes,No,Yes,1,phone,1308,1,5,1.99,1
Month-to-month,No,Electronic check,19.2,20.93,No,No,No,No,No,No,Male,0,No,No,No,0,phone,31,1,0,9.01,0
Month-to-month,Yes,Electronic check,79.95,164.7,No,No,No,No,Yes,No,Male,0,No,No,No,0,combo_optic,62,2,0,3.0,1
Month-to-month,No,Electronic check,24.5,49.0,No,No,No,No,No,No,Female,0,No,No,No,0,internet_dsl,62,2,0,0.0,0
Month-to-month,Yes,Mailed check,99.15,840.79,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,0,combo_optic,245,8,0,6.0,4
Month-to-month,No,Mailed check,20.0,40.0,No,No,No,No,No,No,Male,0,Yes,No,No,0,phone,62,2,0,0.0,0
Month-to-month,Yes,Mailed check,45.85,183.4,No,No,No,No,No,No,Male,0,No,No,No,0,combo_dsl,123,4,0,0.0,0
Month-to-month,Yes,Electronic check,82.15,5011.15,No,Yes,No,No,No,No,Male,1,Yes,No,Yes,0,combo_optic,1857,61,0,0.0,2
Month-to-month,No,Bank transfer (automatic),102.05,3786.06,No,No,Yes,No,Yes,Yes,Female,1,Yes,No,Yes,0,combo_optic,1067,35,0,6.0,4
Month-to-month,Yes,Mailed check,79.65,563.13,No,Yes,Yes,No,No,No,Male,1,Yes,No,No,1,combo_optic,214,7,0,1.0,2
Month-to-month,Yes,Bank transfer (automatic),85.35,1860.63,Yes,No,Yes,No,No,No,Female,1,Yes,No,Yes,0,combo_optic,610,20,0,9.0,3
Month-to-month,No,Electronic check,56.25,562.5,Yes,Yes,No,No,No,No,Female,0,No,No,No,0,combo_dsl,306,10,0,0.0,2
Month-to-month,Yes,Electronic check,93.25,5595.0,Yes,Yes,No,No,No,Yes,Male,1,Yes,Yes,Yes,0,combo_optic,1826,60,0,0.0,4
One year,No,Electronic check,108.45,4802.17,No,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,1,combo_optic,1246,3,7,8.0,6
Two year,No,Credit card (automatic),66.25,3720.6,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,No,0,internet_dsl,1584,2,20,8.0,6
Month-to-month,Yes,Mailed check,20.5,61.5,No,No,No,No,No,No,Female,0,Yes,Yes,No,0,phone,92,3,0,0.0,0
Month-to-month,Yes,Mailed check,51.0,255.0,No,No,No,Yes,No,No,Female,0,No,Yes,No,0,combo_dsl,153,5,0,0.0,1
Month-to-month,No,Credit card (automatic),45.0,288.9,No,No,No,No,Yes,Yes,Female,0,No,No,No,0,internet_dsl,184,6,0,7.0,2
Month-to-month,Yes,Electronic check,89.35,92.03,No,No,No,No,Yes,Yes,Female,0,No,Yes,No,0,combo_optic,31,1,0,3.0,2
One year,Yes,Bank transfer (automatic),88.9,4851.27,No,Yes,No,No,Yes,No,Female,0,No,No,Yes,1,combo_optic,1553,4,9,7.0,3
Month-to-month,Yes,Electronic check,74.35,315.24,No,Yes,No,No,No,No,Male,0,No,No,No,0,combo_optic,123,4,0,6.0,1
Two year,No,Bank transfer (automatic),19.95,1036.2,No,No,No,No,No,No,Male,0,Yes,Yes,No,1,phone,1489,2,23,6.02,0
Month-to-month,Yes,Bank transfer (automatic),80.1,881.1,No,No,No,No,Yes,No,Female,0,No,No,No,0,combo_optic,337,11,0,0.0,1
Month-to-month,No,Bank transfer (automatic),81.0,2041.2,Yes,No,No,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0,combo_dsl,730,24,0,5.0,5
Month-to-month,Yes,Mailed check,54.75,438.0,No,Yes,Yes,No,No,No,Male,0,Yes,No,No,0,combo_dsl,245,8,0,0.0,2
Month-to-month,Yes,Electronic check,24.85,944.3,No,No,No,No,No,No,Male,1,Yes,No,No,0,internet_dsl,1157,38,0,0.0,0
One year,Yes,Credit card (automatic),117.2,7969.6,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,0,combo_optic,2071,5,4,0.0,7
Month-to-month,Yes,Electronic check,74.75,822.25,No,No,No,No,No,No,Female,0,No,No,Yes,0,combo_optic,337,11,0,0.0,1
Month-to-month,Yes,Electronic check,79.85,1676.85,No,No,Yes,No,No,No,Male,1,No,No,Yes,0,combo_optic,641,21,0,0.0,2
Month-to-month,No,Mailed check,64.95,619.62,Yes,No,No,Yes,No,Yes,Male,0,No,No,No,0,combo_dsl,276,9,0,6.0,3
Month-to-month,Yes,Electronic check,86.25,986.7,No,No,Yes,No,Yes,No,Female,0,Yes,No,No,0,combo_optic,337,11,0,4.0,2
Month-to-month,Yes,Electronic check,101.3,3643.76,No,Yes,No,No,Yes,Yes,Male,0,Yes,No,Yes,1,combo_optic,1003,33,0,9.0,4
Month-to-month,Yes,Bank transfer (automatic),79.65,607.73,No,No,No,Yes,No,No,Male,0,Yes,No,Yes,0,combo_optic,215,7,0,9.0,2
Month-to-month,No,Mailed check,19.85,19.85,No,No,No,No,No,No,Male,0,No,Yes,No,0,phone,31,1,0,0.0,0
One year,Yes,Electronic check,39.1,1204.28,No,Yes,No,No,No,Yes,Female,1,Yes,Yes,No,0,internet_dsl,853,2,8,10.0,2
Month-to-month,Yes,Electronic check,69.55,486.85,No,No,No,No,No,No,Male,0,No,No,No,0,combo_optic,215,7,0,0.0,0
Two year,Yes,Bank transfer (automatic),82.3,905.3,Yes,Yes,Yes,Yes,No,Yes,Male,0,Yes,No,Yes,1,combo_dsl,334,0,13,0.0,6
One year,No,Mailed check,20.05,140.35,No,No,No,No,No,No,Female,0,No,Yes,No,0,phone,215,0,5,0.0,0
Two year,Yes,Bank transfer (automatic),79.4,5522.27,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0,combo_dsl,1979,2,7,7.0,5
Two year,Yes,Credit card (automatic),72.6,4472.16,Yes,No,No,Yes,Yes,Yes,Female,1,Yes,Yes,No,0,combo_dsl,1706,2,16,10.0,4
Month-to-month,Yes,Electronic check,103.45,1644.86,No,No,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0,combo_optic,457,15,0,6.0,5
Two year,Yes,Bank transfer (automatic),19.55,1016.6,No,No,No,No,No,No,Female,0,No,No,No,1,phone,1583,2,20,0.0,0
Month-to-month,Yes,Electronic check,81.15,752.26,Yes,No,No,No,No,No,Male,0,No,No,Yes,0,combo_optic,276,9,0,2.99,2
Month-to-month,Yes,Electronic check,75.4,1327.04,No,No,No,No,No,No,Male,0,Yes,No,Yes,0,combo_optic,488,16,0,10.0,1
One year,Yes,Credit card (automatic),20.55,1517.21,No,No,No,No,No,No,Male,0,Yes,Yes,No,0,phone,2102,5,3,7.01,0
Two year,No,Bank transfer (automatic),114.9,8125.73,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0,combo_optic,2071,2,4,4.0,7
Two year,Yes,Bank transfer (automatic),75.15,4133.25,Yes,Yes,Yes,No,No,Yes,Male,1,Yes,Yes,Yes,0,combo_dsl,1523,2,22,9.99,5
Month-to-month,No,Electronic check,93.9,1784.1,Yes,No,Yes,No,No,Yes,Male,0,Yes,No,Yes,1,combo_optic,580,19,0,0.0,4
Month-to-month,No,Electronic check,35.75,357.5,No,Yes,No,Yes,No,No,Male,0,No,No,No,0,internet_dsl,306,10,0,0.0,2
Month-to-month,Yes,Mailed check,29.8,821.29,No,No,Yes,No,No,No,Female,0,No,Yes,No,0,internet_dsl,792,26,0,6.01,1
One year,No,Credit card (automatic),19.35,331.27,No,No,No,No,No,No,Female,0,No,No,No,0,phone,488,1,8,6.98,0
Two year,Yes,Bank transfer (automatic),49.85,1345.95,Yes,No,Yes,Yes,No,Yes,Female,0,Yes,No,No,1,internet_dsl,822,1,21,0.0,4
Two year,No,Mailed check,25.4,1828.8,No,No,No,No,No,No,Male,0,Yes,No,Yes,0,phone,2191,3,0,0.0,1
Month-to-month,Yes,Bank transfer (automatic),98.9,1483.5,Yes,No,No,Yes,Yes,Yes,Female,0,No,No,No,0,combo_optic,457,15,0,0.0,4
Month-to-month,Yes,Mailed check,50.3,855.1,Yes,No,No,No,No,No,Male,0,No,Yes,No,0,combo_dsl,518,17,0,0.0,1
Month-to-month,Yes,Electronic check,50.75,167.48,No,Yes,No,No,No,No,Male,0,No,No,No,0,combo_dsl,92,3,0,10.01,1
One year,Yes,Mailed check,19.8,217.8,No,No,No,No,No,No,Female,0,No,No,No,0,phone,306,0,2,10.0,0
Month-to-month,No,Mailed check,54.85,383.95,No,No,No,No,Yes,No,Male,0,No,No,No,0,combo_dsl,215,7,0,0.0,1
One year,Yes,Bank transfer (automatic),75.8,3638.4,No,Yes,Yes,Yes,No,Yes,Male,0,Yes,Yes,Yes,1,combo_dsl,1461,4,0,0.0,5
One year,No,Mailed check,20.0,265.2,No,No,No,No,No,No,Male,0,Yes,Yes,No,0,phone,396,1,11,2.0,0
One year,Yes,Bank transfer (automatic),105.55,7388.5,No,Yes,No,Yes,Yes,Yes,Female,1,Yes,No,Yes,0,combo_optic,2132,5,2,0.0,5
Month-to-month,Yes,Electronic check,34.5,281.52,Yes,No,No,Yes,No,No,Male,0,Yes,Yes,No,0,internet_dsl,245,8,0,2.0,2
Month-to-month,No,Credit card (automatic),55.8,279.0,Yes,No,Yes,No,No,No,Female,0,No,No,No,0,combo_dsl,153,5,0,0.0,2
Month-to-month,Yes,Mailed check,55.55,555.5,No,Yes,Yes,No,No,No,Female,0,Yes,Yes,No,0,combo_dsl,306,10,0,0.0,2
Month-to-month,Yes,Electronic check,90.6,2104.64,Yes,No,No,No,Yes,No,Male,1,No,No,Yes,0,combo_optic,702,23,0,1.0,3
One year,No,Electronic check,59.3,2451.46,No,No,No,Yes,No,Yes,Female,0,No,No,No,0,combo_dsl,1187,3,9,6.0,2
Month-to-month,Yes,Bank transfer (automatic),108.2,2380.4,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,No,0,combo_optic,610,20,0,10.0,6
One year,No,Credit card (automatic),94.3,1886.0,Yes,No,Yes,Yes,No,Yes,Male,1,Yes,Yes,No,0,combo_optic,610,1,4,0.0,4
Two year,Yes,Credit card (automatic),64.95,5144.04,Yes,Yes,Yes,Yes,Yes,Yes,Male,1,Yes,No,No,0,internet_dsl,2191,3,0,9.99,6
Two year,Yes,Credit card (automatic),25.8,1743.56,No,No,No,No,No,No,Female,0,No,No,Yes,0,phone,1888,2,10,8.99,1
Two year,No,Mailed check,19.75,474.0,No,No,No,No,No,No,Female,0,No,Yes,No,0,phone,730,1,0,0.0,0
Month-to-month,No,Bank transfer (automatic),54.6,1238.33,No,No,No,No,Yes,No,Male,0,Yes,No,No,0,combo_dsl,641,21,0,8.0,1
Month-to-month,Yes,Electronic check,70.65,440.86,No,No,No,No,No,No,Female,1,No,No,No,0,combo_optic,184,6,0,4.01,0
One year,No,Bank transfer (automatic),69.7,3345.6,Yes,No,Yes,Yes,Yes,No,Female,0,Yes,Yes,No,0,combo_dsl,1461,4,0,0.0,4
Month-to-month,No,Mailed check,74.35,520.45,Yes,No,No,No,No,No,Male,0,No,No,No,0,combo_optic,215,7,0,0.0,1
Month-to-month,No,Electronic check,54.35,277.19,No,No,Yes,No,No,No,Male,0,No,No,Yes,0,combo_dsl,153,5,0,2.01,2
One year,Yes,Bank transfer (automatic),108.95,5774.35,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0,combo_optic,1614,4,7,0.0,6
Month-to-month,Yes,Credit card (automatic),55.0,113.3,No,No,No,No,Yes,No,Female,0,No,No,No,0,combo_dsl,62,2,0,3.0,1
Month-to-month,No,Mailed check,49.85,1088.72,No,Yes,No,No,No,No,Female,0,Yes,Yes,No,1,combo_dsl,638,21,0,3.99,1
One year,No,Bank transfer (automatic),88.9,4711.7,No,No,No,No,Yes,Yes,Female,0,Yes,Yes,No,1,combo_optic,1614,4,7,0.0,2
Two year,Yes,Electronic check,79.7,2470.7,Yes,No,Yes,No,Yes,Yes,Male,0,Yes,Yes,Yes,1,combo_dsl,945,1,17,0.0,5
One year,No,Credit card (automatic),20.05,361.3,No,No,No,No,No,No,Female,0,No,No,No,0,phone,518,1,7,5.99,0
Month-to-month,Yes,Bank transfer (automatic),75.6,1388.02,No,No,No,No,No,No,Male,0,No,No,Yes,0,combo_optic,549,18,0,2.0,1
Month-to-month,No,Electronic check,36.65,1356.05,No,Yes,Yes,No,No,No,Male,1,No,No,No,0,internet_dsl,1126,37,0,0.0,2
Month-to-month,Yes,Bank transfer (automatic),114.5,3816.28,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,1,combo_optic,1006,33,0,1.0,7
Two year,No,Credit card (automatic),20.15,967.2,No,No,No,No,No,No,Male,0,No,No,No,0,phone,1461,2,0,0.0,0
Month-to-month,Yes,Electronic check,44.4,133.2,No,No,No,No,No,No,Male,0,No,Yes,No,0,combo_dsl,92,3,0,0.0,0
Month-to-month,Yes,Bank transfer (automatic),19.55,172.04,No,No,No,No,No,No,Male,0,Yes,No,No,0,phone,245,8,0,9.97,0
Two year,Yes,Mailed check,100.2,3637.26,No,Yes,No,Yes,Yes,Yes,Female,0,No,No,No,1,combo_optic,1005,1,15,10.0,4
Month-to-month,Yes,Mailed check,24.9,27.14,No,No,No,No,No,No,Female,0,No,No,No,0,internet_dsl,31,1,0,9.0,0
Month-to-month,Yes,Bank transfer (automatic),85.15,596.05,Yes,No,No,No,Yes,No,Male,1,No,No,No,0,combo_optic,215,7,0,0.0,2
One year,Yes,Bank transfer (automatic),75.75,4581.36,No,Yes,No,Yes,Yes,Yes,Male,0,No,No,No,0,combo_dsl,1706,4,4,8.0,4
Month-to-month,Yes,Bank transfer (automatic),90.9,1445.31,No,Yes,No,No,No,Yes,Female,0,Yes,Yes,Yes,0,combo_optic,457,15,0,6.0,3
Month-to-month,Yes,Electronic check,44.75,44.75,No,No,No,No,No,No,Male,0,No,No,No,0,combo_dsl,31,1,0,0.0,0
One year,No,Credit card (automatic),116.25,3952.5,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,0,combo_optic,1036,2,2,0.0,7
One year,Yes,Electronic check,90.8,935.24,Yes,Yes,No,No,No,Yes,Male,0,Yes,Yes,No,1,combo_optic,304,0,2,3.0,3
One year,Yes,Mailed check,20.5,355.47,No,No,No,No,No,No,Male,0,No,No,No,0,phone,518,1,7,2.0,0
Two year,Yes,Bank transfer (automatic),105.25,7228.57,Yes,Yes,Yes,No,Yes,Yes,Male,0,Yes,Yes,No,0,combo_optic,2071,2,4,1.0,5
Two year,Yes,Mailed check,65.0,3268.85,Yes,No,Yes,Yes,No,No,Female,0,No,No,Yes,0,combo_dsl,1432,1,1,7.0,4
Month-to-month,Yes,Electronic check,94.45,1889.0,No,No,No,Yes,Yes,Yes,Female,1,No,No,No,0,combo_optic,610,20,0,0.0,3
Month-to-month,Yes,Bank transfer (automatic),54.9,1756.8,No,Yes,No,Yes,No,No,Male,0,Yes,Yes,No,1,combo_dsl,975,32,0,0.0,2
Two year,Yes,Electronic check,105.5,7596.0,Yes,No,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,0,combo_optic,2191,3,0,0.0,5
Month-to-month,Yes,Credit card (automatic),20.55,123.3,No,No,No,No,No,No,Male,0,Yes,No,No,0,phone,184,6,0,0.0,0
Month-to-month,Yes,Bank transfer (automatic),94.95,2088.9,No,Yes,Yes,Yes,No,Yes,Male,0,No,No,No,0,combo_optic,671,22,0,0.0,4
Month-to-month,Yes,Mailed check,104.05,2705.3,No,No,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,0,combo_optic,792,26,0,0.0,5
Two year,No,Credit card (automatic),114.75,8193.15,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0,combo_optic,2132,2,2,2.0,7
One year,No,Mailed check,20.25,61.36,No,No,No,No,No,No,Female,0,No,No,No,0,phone,92,0,9,0.99,0
One year,Yes,Electronic check,106.05,4666.2,Yes,Yes,Yes,No,Yes,Yes,Male,0,No,No,No,0,combo_optic,1340,3,4,0.0,5
Month-to-month,Yes,Electronic check,85.55,440.58,No,Yes,No,No,No,Yes,Male,1,No,No,No,0,combo_optic,153,5,0,3.0,2
Month-to-month,Yes,Electronic check,19.85,79.4,No,No,No,No,No,No,Male,0,No,No,No,0,phone,123,4,0,0.0,0
Month-to-month,No,Mailed check,20.15,80.6,No,No,No,No,No,No,Female,0,No,No,No,0,phone,123,4,0,0.0,0
Month-to-month,Yes,Electronic check,63.6,259.49,No,No,No,Yes,Yes,No,Female,0,No,No,Yes,0,combo_dsl,123,4,0,2.0,3
Month-to-month,No,Mailed check,89.8,4579.8,Yes,No,Yes,No,Yes,No,Male,0,No,No,No,1,combo_optic,1553,51,0,0.0,3
One year,Yes,Credit card (automatic),24.8,272.8,No,No,No,No,No,No,Male,0,No,No,Yes,1,phone,335,0,1,0.0,1
One year,No,Mailed check,74.3,1931.8,Yes,Yes,Yes,Yes,Yes,No,Female,0,No,No,No,0,combo_dsl,792,2,10,0.0,5
Month-to-month,Yes,Electronic check,78.05,2185.4,No,No,Yes,No,No,No,Female,1,No,No,Yes,0,combo_optic,853,28,0,0.0,2
Month-to-month,Yes,Electronic check,74.5,402.3,No,No,No,No,No,No,Female,0,No,No,Yes,0,combo_optic,153,5,0,8.0,1
One year,Yes,Electronic check,79.2,1035.94,Yes,No,Yes,Yes,Yes,Yes,Female,1,Yes,No,No,0,combo_dsl,365,1,0,9.0,5
Month-to-month,No,Bank transfer (automatic),61.8,867.67,No,Yes,Yes,Yes,No,No,Male,0,Yes,Yes,No,0,combo_dsl,396,13,0,7.99,3
Two year,Yes,Electronic check,99.35,6992.25,No,No,No,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0,combo_optic,2102,2,3,2.0,4
Month-to-month,No,Mailed check,50.15,1755.25,No,No,No,No,No,No,Female,0,No,Yes,Yes,0,combo_dsl,1067,35,0,0.0,1
One year,No,Credit card (automatic),90.25,5776.0,No,No,Yes,No,No,Yes,Male,0,Yes,Yes,Yes,0,combo_optic,1949,5,8,0.0,3
Month-to-month,Yes,Bank transfer (automatic),104.4,2505.6,Yes,No,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,0,combo_optic,730,24,0,0.0,5
Month-to-month,Yes,Electronic check,93.85,375.4,No,No,No,No,Yes,Yes,Male,1,No,No,Yes,0,combo_optic,123,4,0,0.0,3
One year,Yes,Credit card (automatic),19.35,394.74,No,No,No,No,No,No,Female,0,No,No,No,0,phone,610,1,4,2.02,0
Month-to-month,No,Bank transfer (automatic),49.15,1277.9,No,No,No,Yes,No,No,Male,0,No,No,No,0,combo_dsl,792,26,0,0.0,1
Month-to-month,Yes,Mailed check,36.85,184.25,No,Yes,No,Yes,No,No,Male,0,No,No,No,0,internet_dsl,153,5,0,0.0,2
Month-to-month,Yes,Mailed check,25.45,103.84,No,No,No,No,No,No,Female,0,No,Yes,Yes,0,phone,123,4,0,2.0,1
Month-to-month,Yes,Electronic check,75.7,529.9,Yes,Yes,Yes,Yes,Yes,No,Female,0,Yes,Yes,No,0,combo_dsl,215,7,0,0.0,5
Month-to-month,No,Mailed check,44.65,223.25,No,No,No,No,No,No,Male,0,No,No,No,0,combo_dsl,153,5,0,0.0,0
Month-to-month,Yes,Electronic check,101.0,2424.0,No,No,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,1,combo_optic,731,24,0,0.0,4
Month-to-month,Yes,Electronic check,85.75,612.25,No,No,No,Yes,Yes,No,Female,0,Yes,Yes,No,0,combo_optic,215,7,0,1.99,2
Month-to-month,No,Electronic check,36.25,384.25,No,Yes,No,Yes,No,No,Female,0,No,No,No,0,internet_dsl,306,10,0,5.99,2
Month-to-month,Yes,Electronic check,74.3,1136.79,No,No,Yes,No,No,No,Female,1,No,No,No,0,combo_optic,457,15,0,2.01,1
Two year,No,Bank transfer (automatic),24.75,1377.34,No,No,No,No,No,No,Female,0,Yes,No,Yes,1,phone,1614,2,19,5.01,1
One year,Yes,Bank transfer (automatic),60.15,2526.3,Yes,Yes,No,No,No,No,Female,0,No,No,Yes,0,combo_dsl,1279,3,6,0.0,3
Month-to-month,Yes,Credit card (automatic),99.3,893.7,No,Yes,No,No,Yes,Yes,Male,0,No,No,Yes,0,combo_optic,276,9,0,0.0,4
Month-to-month,Yes,Electronic check,105.55,4171.34,No,Yes,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,1,combo_optic,1157,38,0,4.0,5
Month-to-month,Yes,Credit card (automatic),71.3,149.73,No,No,No,No,No,No,Male,0,No,No,No,0,combo_optic,62,2,0,4.99,0
Month-to-month,No,Bank transfer (automatic),74.35,4594.83,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0,combo_optic,1826,60,0,3.0,1
Month-to-month,Yes,Credit card (automatic),50.65,1975.35,No,No,Yes,No,Yes,Yes,Female,0,No,No,No,0,internet_dsl,1187,39,0,0.0,3
One year,Yes,Mailed check,19.5,292.5,No,No,No,No,No,No,Male,0,Yes,Yes,No,0,phone,457,1,9,0.0,0
Month-to-month,No,Mailed check,43.9,316.52,No,No,No,No,No,No,Male,0,No,No,No,0,combo_dsl,215,7,0,3.01,0
Two year,No,Mailed check,19.6,294.0,No,No,No,No,No,No,Female,0,No,No,No,0,phone,457,0,9,0.0,0
One year,No,Bank transfer (automatic),101.15,6170.15,No,No,No,Yes,Yes,Yes,Female,0,Yes,No,Yes,0,combo_optic,1857,5,11,0.0,4
Month-to-month,Yes,Bank transfer (automatic),49.6,1008.37,No,No,Yes,No,No,No,Female,0,Yes,Yes,No,0,combo_dsl,580,19,0,7.0,1
Two year,No,Mailed check,25.0,1489.75,No,No,No,No,No,No,Male,0,No,No,Yes,0,phone,1798,2,13,1.0,1
Month-to-month,Yes,Electronic check,44.5,1441.8,No,No,No,No,Yes,Yes,Male,0,No,Yes,No,0,internet_dsl,914,30,0,8.0,2
Month-to-month,Yes,Bank transfer (automatic),89.8,5970.8,No,Yes,No,No,No,Yes,Male,1,Yes,No,Yes,1,combo_optic,1857,61,0,9.0,3
One year,No,Mailed check,19.85,65.51,No,No,No,No,No,No,Male,0,Yes,Yes,No,0,phone,92,0,9,10.03,0
